Function,multiHashLSH
SetSize,2000
BitLength,12
Run,Time(us),Succeeded
0,4867,1
1,4830,1
2,4846,1
3,4815,1
4,4796,1
5,4819,1
6,4808,1
7,4808,1
8,4824,1
9,4866,1
