Function,multiHashLSH
SetSize,1000
BitLength,16
Run,Time(us),Succeeded
0,2720,1
1,2714,1
2,3233,1
3,3779,1
4,3710,1
5,3704,1
6,3139,1
7,2704,1
8,2720,1
9,2717,1
