Function,multiHashLSH
SetSize,10000
BitLength,16
Run,Time(us),Succeeded
0,54537,1
1,54225,1
2,51258,1
3,49892,1
4,50714,1
5,53622,1
6,51285,1
7,54604,1
8,53126,1
9,53296,1
