Function,multiHashLSH
SetSize,30000
BitLength,16
Run,Time(us),Succeeded
0,203294,1
1,214513,1
2,200338,1
3,212375,1
4,220205,1
5,210351,1
6,204443,1
7,196432,1
8,184956,1
9,194257,1
